CleanTitle,title,media_type,popularity
the umbrella academy,The Umbrella Academy,tv,30.7402
meio grávida,Meio Grávida,movie,2.3763
ele acredita em papai noel!,Ele Acredita em Papai Noel!,movie,0.7274
natal com você,Natal com Você,movie,1.0132
o segredo do papai noel,O Segredo do Papai Noel,movie,1.7722
uma mulher sem filtro,Uma Mulher Sem Filtro,movie,0.9182
o preço da família,O Preço da Família,movie,0.6434
dna do crime,DNA DO CRIME,tv,5.5054
operação beijo de natal,Operação Beijo de Natal,movie,0.5163
um milagre de natal para daisy,Um Milagre de Natal para Daisy,movie,1.0901
no ritmo do natal,No Ritmo do Natal,movie,1.5907
"os seus, os meus e os nossos","Os Seus, os Meus e os Nossos",movie,3.6318
guerra e revolta,Guerra e Revolta,movie,4.1112
monstro,Monarch - Legado de Monstros,tv,97.0955
"família, pero no mucho","Família, Pero no Mucho",movie,0.7588
o melhor. natal. de todos!,O Melhor. Natal. de Todos!,movie,1.427
caso de polícia,Caso de Polícia,tv,5.6404
27 noites,27 Noites,movie,1.7219
rebel moon - parte 1,Rebel Moon - Parte 1: A Menina do Fogo,movie,5.6135
altered carbon,Altered Carbon,tv,24.3052
o poço 2,O Poço 2,movie,5.6409
até o último samurai,Até o Último Samurai,tv,16.2798
mask girl,Mask Girl,tv,9.1949
mindhunter,MINDHUNTER,tv,31.7157
samurai de olhos azuis,Samurai de Olhos Azuis,tv,11.289
mashle,MASHLE: MAGIA E MÚSCULOS,tv,30.2596
round 6,Round 6,tv,64.9679
anon,Anon,movie,2.9486
godless,Godless,tv,9.9937
leanne,Leanne,tv,2.7302
missa da meia-noite,Missa da Meia-Noite,tv,9.1877
warrior nun,Warrior Nun,tv,10.9648
ela disse talvez,Ela Disse Talvez,movie,2.0825
killing eve,Killing Eve: Dupla Obsessão,tv,26.2446
yellowstone,Yellowstone,tv,110.5722
invasão de lua de mel,Invasão de Lua de Mel,movie,1.6296
hunter x hunter,Hunter x Hunter,tv,99.4453
luther,Luther,tv,17.3325
locke & key,Locke & Key,tv,13.4652
além do direito,Além do Direito,tv,10.3994
inacreditável,Inacreditável,tv,12.3073
suits,Homens de Terno,tv,112.2161
avatar,Avatar: Fogo e Cinzas,movie,397.7548
doze homens e outro segredo,Doze Homens e Outro Segredo,movie,8.4642
7seeds,7Seeds,tv,9.7307
deadwind,Deadwind,tv,9.4755
o preço da herança da vovó,O Preço da Herança da Vovó,movie,0.7562
halo,Halo,tv,41.0788
adolescência,Adolescência,tv,13.7408
sintonia de natal,Sintonia de Natal,movie,1.3761
o monstro em mim,O Monstro em Mim,tv,17.535
eric,Eric,tv,6.2301
uma advogada extraordinária,Uma Advogada Extraordinária,tv,16.0232
nonnas,Nonnas,movie,5.2449
mistério no mediterrâneo,Mistério no Mediterrâneo,movie,4.4871
7 mulheres e um mistério,7 Mulheres e Um Mistério,movie,1.0574
se a vida te der tangerinas…,Se a Vida Te Der Tangerinas...,tv,30.9319
garotos detetives mortos,Garotos Detetives Mortos,tv,7.6635
o cuco de cristal,O Cuco de Cristal,tv,5.871
"toc - transtornada, obsessiva, compulsiva",TOC: Transtornada Obsessiva Compulsiva,movie,0.3148
rojst,Rojst,tv,7.5878
seinfeld,Seinfeld,tv,130.0721
tudo em família,Tudo em Família,tv,20.0707
um amor feito de neve,Um Amor Feito de Neve,movie,2.764
ripley,RIPLEY,tv,16.7672
my hero academia,My Hero Academia: Vigilantes,tv,31.2738
entre facas e segredos,Entre Facas e Segredos,movie,15.828
a love so beautiful,Um Amor Tão Lindo,tv,4.7923
o príncipe dragão,O Príncipe Dragão,tv,15.3943
tougen anki,Tougen Anki,tv,18.63
invejosa,Invejosa,tv,6.3337
sonhos de trem,Sonhos de Trem,movie,8.4897
house of guinness,House of Guinness,tv,5.9961
o clube do crime das quintas-feiras,O Clube do Crime das Quintas-Feiras,movie,4.9542
o sangue de zeus,O Sangue de Zeus,tv,9.1749
uma segunda chance para amar,Uma Segunda Chance Para Amar,movie,3.1012
supermães,Supermães,tv,11.9515
dark winds,Dark Winds,tv,52.8693
one piece,ONE PIECE: A Série,tv,114.7672
disque amiga para matar,Disque Amiga para Matar,tv,12.3939
o eternauta,O Eternauta,tv,12.3549
machos alfa,Machos Alfa,tv,11.573
os ratos,Os Ratos: Uma História de The Witcher,movie,9.22
o cisne,O Canto do Cisne,movie,3.4728
dungeon meshi,Dungeon Meshi,tv,34.719
baki hanma,Baki Hanma,tv,24.278
a mulher na cabine 10,A Mulher na Cabine 10,movie,8.3511
vingança & castigo,Vingança & Castigo,movie,4.3544
treta,Treta,tv,19.1136
a maldição da residência hill,A Maldição da Residência Hill,tv,20.8748
a killer paradox,A Killer Paradox,tv,9.6483
dupla jornada,Dupla Jornada,movie,4.376
sem piedade,Sem Piedade,tv,8.7353
clickbait,Clickbait,tv,3.9637
adoráveis mulheres,Adoráveis Mulheres,movie,9.5832
manifest,Manifest: O Mistério do Voo 828,tv,46.0536
a grande ilusão,A Grande Ilusão,tv,8.7846
realeza,Realeza Majestosa King-Ohger,tv,21.6678
a criatura de gyeongseong,A Criatura de Gyeongseong,tv,13.2019
pluto,PLUTO,tv,18.4888
oats studios,OATS Studios,tv,3.9952
tomb raider,Tomb Raider: A Origem,movie,7.4605
the witcher,The Witcher,tv,64.6418
kill bill,Kill Bill: Volume 1,movie,15.9181
encomenda para o natal,Encomenda para o Natal,movie,0.5234
expresso do amanhã,Expresso do Amanhã,tv,28.9054
que chegue a você,Que Chegue a Você: Kimi ni Todoke,tv,38.7385
a maldição da mansão bly,A Maldição da Mansão Bly,tv,12.0226
parasita,Parasita,movie,34.3936
madea e o casamento nas bahamas,Madea e o Casamento nas Bahamas,movie,1.9116
kengan ashura,KENGAN ASHURA,tv,16.2896
crepúsculo dos deuses,Crepúsculo dos Deuses,tv,7.5665
power,Power,tv,28.8893
amor e batatas,Amor e Batatas,tv,5.9626
record of ragnarok,Record of Ragnarok,tv,16.5603
romance is a bonus book,Romance Is a Bonus Book,tv,8.366
os assassinatos de åre,Os Assassinatos de Åre,tv,3.1379
antracite,Antracite,tv,4.7551
solar opposites,Solar Opposites,tv,30.6516
o domo de vidro,O Domo de Vidro,tv,3.6285
o ritmo da vingança,O Ritmo da Vingança,movie,2.0261
hellboy,Hellboy,movie,5.6102
natal sob a aurora boreal,Natal Sob a Aurora Boreal,movie,0.9388
1883,1883,tv,21.0425
homeland,Homeland - Segurança Nacional,tv,106.2917
brick,Brick,movie,3.6989
jujutsu kaisen,Jujutsu Kaisen,tv,280.6589
kurukshetra,Kurukshetra,movie,0.5876
terra de pecados,Terra de Pecados,tv,4.6198
seis punhos,Seis Punhos,tv,4.3616
black clover,Black Clover,tv,26.0527
os segredos de manscheid,Os Segredos de Manscheid,tv,5.193
fate/apocrypha,Fate/Apocrypha,tv,13.5276
tudo bem no natal que vem,Tudo Bem no Natal Que Vem,movie,0.4915
borboletas negras,Borboletas Negras,tv,2.5063
the killer,O Assassino,movie,8.7944
o troll da montanha 2,O Troll da Montanha 2,movie,32.083
você estava lá,Você Estava Lá,tv,7.5868
perdidos no espaço,Perdidos no Espaço,tv,22.3254
marcella,Marcella,tv,9.7942
guerreiras do k-pop,Guerreiras do K-Pop,movie,47.2133
the last kingdom,The Last Kingdom,tv,36.6973
reforma com romance,Reforma com Romance,movie,0.7198
desejo de matar,Desejo de Matar,movie,5.5553
sobrenatural,Sobrenatural,movie,0.5568
juntos e misturados,Juntos e Misturados,movie,6.2685
dr.stone,Dr. Stone,tv,9.0591
dark,Dark,tv,38.4221
reunião de família,Reunião de Família,tv,10.5815
náufrago,Náufrago,movie,11.7272
the ballad of buster scruggs,A Balada de Buster Scruggs,movie,7.5778
lupin,Lupin,tv,27.1549
the old guard 2,The Old Guard 2,movie,7.9891
o homem das castanhas,O Homem das Castanhas,tv,7.582
ozark,Ozark,tv,40.203
duas covas,Duas Covas,tv,5.0583
the oa,The OA,tv,16.3995
bodkin,Bodkin,tv,7.4857
vinland saga,VINLAND SAGA,tv,14.3467
boots,Boots,tv,13.0087
casa de dinamite,Casa de Dinamite,movie,6.1666
Truque de mestre O segundo ato,Truque de Mestre: O 2° Ato,movie,12.1199
El Camino,El Camino: A Breaking Bad Film,movie,6.2131
Jogador N1,Jogador N° 1,movie,12.967
Truque de mestre,Truque de Mestre: O 3° Ato,movie,58.0687
O pacote,O Pacote,movie,0.3427
Shazam,Shazam!,movie,7.6651
O cavaleiro das trevas,Batman: O Cavaleiro das Trevas,movie,52.028
Desencanto,(Des)encanto,tv,18.7981
The end of the fucking world,The End of the F***ing World,tv,12.3087
Rick and morty,Rick e Morty,tv,92.6253
Cowboy Bebop,Cowboy Bebop,tv,44.0773
The midnight Gospel,The Midnight Gospel,tv,4.5204
De volta para o Futuro,De Volta para o Futuro,movie,30.4262
