,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime
3287,Maradona in Mexico,Maradona no México,[99],https://image.tmdb.org/t/p/w500/mYr754ZZCoBKxtKj2k6bC2I3ki9.jpg,tv,0.9213,7,6.553,19,[39],1,"['AR', 'PE']","['mexico', 'sports', 'miniseries', 'football (soccer)']",,5,0,0,0,0,0,0,0
3288,Chief of Staff,Chefe de Gabinete,"[18, 10768]",https://image.tmdb.org/t/p/w500/aMfLa30SI4obNsKYa3uG9r1srbY.jpg,tv,5.0213,7,8.152,33,[45],2,['KR'],"['competition', 'congress', 'politics', 'government', 'workplace', 'law', 'seoul, south korea', 'south korean', 'national assembly', 'south korean politician']",Kwak Jung-hwan,-1,0,0,1,0,0,0,0
3289,Jeff Garlin: Our Man In Chicago,Jeff Garlin: Our Man in Chicago,[35],https://image.tmdb.org/t/p/w500/uuuOK7WxR6KAAsoyNidiV3kqusS.jpg,movie,0.1476,7,5.6,13,58,,,[],Christopher Storer,-1,0,0,0,0,0,0,0
3290,A Single Man,Direito de Amar,"[18, 10749]",https://image.tmdb.org/t/p/w500/uXfmcYjTXv5clu6JkFpX1dRMDhw.jpg,movie,2.2325,17,7.3,1637,99,,['US'],"['suicide', 'based on novel or book', 'professor', 'grief', 'suicidal', 'death of lover', 'teacher student relationship', 'lgbt', 'grieving', '1960s', 'english professor']",Tom Ford,5,0,0,0,0,0,0,0
3291,Put Your Head on My Shoulder,Ombro Amigo,"[18, 35]",https://image.tmdb.org/t/p/w500/7dKCRiocNgv3gMTVA6J05iKZjHK.jpg,tv,2.7911,7,8.0,64,[45],1,['CN'],"['romance', 'first love', 'cohabitation', 'web series']",Zhao Qian Qian,1,0,0,0,0,0,0,0
3292,To Be of Service,To Be of Service,[99],https://image.tmdb.org/t/p/w500/iVVsVb9UUzhG8HuF9cRS9ULwpZm.jpg,movie,0.1201,7,6.0,4,88,,,"['post-traumatic stress disorder (ptsd)', 'war veteran', 'dog', 'military veteran', 'dog man friendship', 'service animal']",Josh Aronson,-1,0,0,0,0,0,0,0
3293,Little Things,Coisas da Vida,"[18, 35]",https://image.tmdb.org/t/p/w500/kQGpyOZ93Mgr1sRFfKr8Yydp87M.jpg,tv,2.9139,10,7.5,44,[20],4,['IN'],['little things'],Dhruv Sehgal,-1,0,0,0,0,0,0,0
3294,Greatest Events of WWII in Colour,Grandes Momentos da Segunda Guerra em Cores,"[99, 10768]",https://image.tmdb.org/t/p/w500/eIF4koJEqLDFMj77RXaPi9fOcSk.jpg,tv,2.1235,7,7.996,121,[50],1,['GB'],['world war ii'],,-1,0,0,0,0,0,0,0
3295,Green Eggs and Ham,Ovos Verdes e Presunto,"[10762, 10751, 16, 35, 10759]",https://image.tmdb.org/t/p/w500/sPbNUuCOD2ilcVWf5yjjkMqyoxs.jpg,tv,8.7553,7,8.023,65,[28],2,['US'],"[""based on children's book"", 'buddy comedy', 'mother daughter relationship', 'egg']",Jared Stern,1,0,0,0,0,0,0,0
3296,Let It Snow,Deixe a Neve Cair,"[10749, 35]",https://image.tmdb.org/t/p/w500/cK25zywRZwSxCSzGZaPTJ7ZhC1m.jpg,movie,1.8881,7,6.076,1206,93,,['US'],"['based on novel or book', 'pig', 'holiday', 'teen movie', 'snow', 'blizzard', 'lgbt', 'multiple storylines', 'christmas spirit', 'christmas', 'christmas eve']",Luke Snellin,2,1,0,0,0,0,0,0
3297,Paradise Beach,Paradise Beach,[10766],,tv,8.2046,33,6.7,5,"[25, 30]",2,"['US', 'AU']",['australia'],Wayne Doyle,-1,0,0,0,0,0,0,0
