,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime
0,Dick Johnson Is Dead,As Mortes de Dick Johnson,[99],https://image.tmdb.org/t/p/w500/7Gu8QodLefx66wEn5vHuTXZuEi3.jpg,movie,0.3649,6,7.112,138,89.0,,['US'],"['dying and death', 'biography', ""alzheimer's disease"", 'stuntman', 'father daughter relationship']",Kirsten Johnson,2,0,0,0,0,0,0,0
1,Blood & Water,Sangue e Água,[18],https://image.tmdb.org/t/p/w500/wYy8XSYQQAjgTT98qkR3WkeVsen.jpg,tv,4.5087,6,7.8,320,[48],4,['ZA'],"['south africa', 'friendship', 'high school', 'teen drama']",Nosipho Dumisa-Ngoasheng,5,0,0,0,0,0,0,0
2,Ganglands,Submundo do Crime,"[80, 10759]",https://image.tmdb.org/t/p/w500/8zSAxoPCzaNvugjeROqiMKRTyks.jpg,tv,6.2487,5,7.146,181,[45],2,['FR'],"['bank robber', 'love', 'criminal', 'armed robbery', 'drug', 'gang solves mystery']",Julien Leclercq,5,0,0,0,0,0,0,0
3,Jailbirds New Orleans,Irmãs de Cela: New Orleans,"[99, 10764]",https://image.tmdb.org/t/p/w500/pA7urHEBVDSJR7Cn7bANRbhwly7.jpg,tv,0.2529,5,5.583,6,[41],1,['US'],[],,-1,0,0,0,0,0,0,0
4,Kota Factory,A Fábrica de Kota,"[35, 18]",https://image.tmdb.org/t/p/w500/jONEEKjCIijgpowQBUoHza8g5iC.jpg,tv,3.974,7,8.1,110,[40],3,['IN'],"['competition', 'community', 'workplace', 'engineering', 'india', 'the viral fever', 'student']",Saurabh Khanna,3,0,0,0,0,0,0,0
5,Midnight Mass,Missa da Meia-Noite,"[9648, 18]",https://image.tmdb.org/t/p/w500/rka8ibtD6HayiEJmb6rns47lyAL.jpg,tv,6.6235,5,7.534,1147,,1,['US'],"['sheriff', 'island', 'drug dealer', 'vampire', 'addiction', 'alcoholism', 'priest', 'mysterious man', 'religion', 'church', 'ex-con', 'catholicism', 'fishing boat', 'shocking', 'complex', 'miracles', 'horror', 'intense']",Mike Flanagan,5,0,0,0,0,0,0,0
6,My Little Pony: A New Generation,My Little Pony: Nova Geração,"[16, 10751, 14, 35, 12]",https://image.tmdb.org/t/p/w500/gsd8CzmWi4daZbEvuH4rgWbu5yT.jpg,movie,2.1133,5,7.7,329,105,,"['CA', 'IE']","['flying horse', 'pony', 'unicorn']",José Luis Ucha,1,0,0,0,0,0,0,0
7,Sankofa,Sankofa,"[18, 14, 36, 878]",https://image.tmdb.org/t/p/w500/t5PTcnhZgHzL7HUZKQP95UQDD5o.jpg,movie,0.5102,33,5.6,14,124,,"['BF', 'ET', 'DE', 'GH', 'GB', 'US']","['africa', 'freedom', 'slavery']",Haile Gerima,-1,0,0,0,0,0,0,0
8,The Great British Baking Show,The Great British Bake Off,[10764],https://image.tmdb.org/t/p/w500/bG51CdS25evMAdilV4oYkQx5sGn.jpg,tv,8.3445,9,8.22,41,[60],9,['GB'],"['food', 'baking', 'reality competition']",Anna Beattie,-1,0,0,0,0,0,0,0
9,The Starling,Um Ninho para Dois,[18],https://image.tmdb.org/t/p/w500/sv20mmXS7nBkoEePDxZ3GlkdYcp.jpg,movie,1.0783,5,6.9,309,104,,"['CA', 'US']","['friendship', 'marriage', 'loss', 'grief', 'bird', 'starling']",Theodore Melfi,2,0,0,0,0,0,0,0
10,"Vendetta: Truth, Lies and The Mafia",Vendetta: A Guerra Antimáfia,[99],https://image.tmdb.org/t/p/w500/91A5GVW13g4SctllYK5SCBP3ajP.jpg,tv,0.4586,5,6.9,17,,1,"['IT', 'GB']","['corruption', 'organized crime', 'mafia', 'infiltration', 'sicilian mafia', 'anti-mafia']",Ruggero Di Maggio,-1,0,0,0,0,0,0,0
11,Bangkok Breaking,Bangkok no Limite: Entre o Inferno e o Paraíso,"[28, 80, 18, 53]",https://image.tmdb.org/t/p/w500/dpcWDfyval6VfOUacRBFS0gNDVO.jpg,movie,1.8047,2,6.822,73,147,,['TH'],"['bangkok, thailand']",Kongkiat Khomsiri,-1,0,0,0,0,0,0,0
12,Je Suis Karl,Je Suis Karl,"[18, 53]",https://image.tmdb.org/t/p/w500/gQJcTlIfLJayp5TdlvFzwh9gtMp.jpg,movie,0.7857,5,5.281,57,126,,"['CZ', 'DE']","['berlin, germany', 'europe', 'right wing extremism', 'terrorism', 'terrorist plot', 'father and daughter']",Christian Schwochow,5,0,0,0,0,0,0,0
13,Confessions of an Invisible Girl,Confissões de uma Garota Excluída,"[35, 18]",https://image.tmdb.org/t/p/w500/bGIy308alpX12xdBVsREgsHawQC.jpg,movie,1.1882,5,6.642,240,92,,['BR'],['based on novel or book'],Bruno Garotti,-1,0,0,0,0,0,0,0
14,Crime Stories: India Detectives,Grandes Investigações: Detetives da Índia,"[80, 99, 9648]",https://image.tmdb.org/t/p/w500/w8oUG8e72MeyGyXhGtOpau7O05q.jpg,tv,0.572,5,6.571,7,,1,['GB'],"['detective', 'investigation', 'police', 'murder', 'india', 'criminal']",,5,0,0,0,0,0,0,0
15,Dear White People,Cara Gente Branca,"[35, 18]",https://image.tmdb.org/t/p/w500/9hywTPaMNYsPasBa8DuIWJrAQsl.jpg,tv,5.5213,9,5.949,185,[30],4,['US'],"['college', 'social commentary', 'racism', 'racial tension', 'social justice', 'based on movie', 'fight the system', 'racial issues', 'young adult', 'irreverent', 'witty']",Justin Simien,5,0,0,0,0,0,0,0
16,Europe's Most Dangerous Man: Otto Skorzeny in Spain,O Homem Mais Perigoso da Europa: Otto Skorzeny na Espanha,"[99, 36]",https://image.tmdb.org/t/p/w500/4ftSXSlgZvp4IDuOmX7Px40q60X.jpg,movie,0.3655,6,6.7,13,67,,['ES'],"['mossad', 'madrid, spain', 'espionage', 'cold war', 'mallorca island, spain', 'world war ii', 'waffen ss', 'biography', 'franco regime (francoism)', 'historical figure', 'commando', 'post world war ii', 'oss (office of strategic services)', 'nazi war criminal']",Pedro de Echave,-1,0,0,0,0,0,0,0
17,Falsa identidad,Falsa Identidade,"[80, 10759]",https://image.tmdb.org/t/p/w500/ytrjmLOM9Na3f3h9v3jH1q3Ny9J.jpg,tv,14.5561,8,7.6,533,,2,"['MX', 'US']","['dual identity', 'violence against women', 'domestic violence', 'drugs', 'forced prostitution', 'political corruption', 'identity theft']",Perla Farías,3,0,0,0,0,0,0,0
18,Intrusion,Intrusion,"[18, 9648, 53]",https://image.tmdb.org/t/p/w500/o6ozTBflWXlBje0uxJv4m6s4HTq.jpg,movie,2.8535,5,5.943,739,93,,['US'],"['small town', 'husband wife relationship', 'home invasion', 'intruder']",Adam Salky,-1,0,0,0,0,0,0,0
19,Jaguar,Jaguar,"[18, 10768]",https://image.tmdb.org/t/p/w500/eYHdtR2UmKW61wk3NNUNehSRa4J.jpg,tv,2.3701,5,7.156,90,"[42, 51, 37, 48, 41]",1,['ES'],"['nazi', 'period drama', 'justice', '1960s', 'survive']",Gema R. Neira,5,0,0,0,0,0,0,0
20,Monsters Inside: The 24 Faces of Billy Milligan,As 24 Personalidades de Billy Milligan,"[99, 80]",https://image.tmdb.org/t/p/w500/w4BvMx1wNVYFLeXHuGm66OENZEh.jpg,tv,0.9794,5,6.987,78,[60],1,['US'],"['1970s', 'investigation', 'assault', 'criminal', 'multiple personality']",Olivier Megaton,-1,0,0,0,0,0,0,0
21,Resurrection: Ertugrul,O Grande Guerreiro Otomano,"[10768, 10759, 18]",https://image.tmdb.org/t/p/w500/qvWMryee6GBBfHI2nRBQ5sdDJfE.jpg,tv,10.7002,12,7.8,165,[120],5,['TR'],[],,3,0,0,0,0,0,0,0
22,Avvai Shanmughi,,[],,,,,,,,,,[],,-1,0,0,0,0,0,0,0
23,Go! Go! Cory Carson: Chrissy Takes the Wheel,Go! Go! Cory Carson Chrissy Assume a Direção,"[16, 10751]",https://image.tmdb.org/t/p/w500/3HkaBGRPJg8sOCn2VKb01MLyoHa.jpg,movie,0.4752,5,5.893,28,57,,['US'],[],Alex Woo,-1,0,0,0,0,0,0,0
24,Jeans,Quatro Amigas e um Jeans Viajante,"[18, 35, 10749]",https://image.tmdb.org/t/p/w500/hko3QJ0NR7bjS73LVjcX1MKrIt5.jpg,movie,4.1839,21,6.516,1338,119,,['US'],"['based on novel or book', 'holiday', 'female friendship', 'jeans', 'coming of age', 'teenage girl', 'summer', 'based on young adult novel']",Ken Kwapis,1,1,0,0,0,0,1,0
25,Love on the Spectrum,Amor no Espectro,"[99, 10764]",https://image.tmdb.org/t/p/w500/fpEaxdJR7t4y5c4ZlJJduRU1359.jpg,tv,2.3289,4,7.8,40,,4,['US'],"['date', 'love', 'romance', 'relationship']",Karina Holden,3,0,0,0,0,0,0,0
26,Minsara Kanavu,மின்சார கனவு,"[35, 10749, 18]",https://image.tmdb.org/t/p/w500/fAet30jOD12zba47n5MsfeMSLWD.jpg,movie,3.5335,29,6.7,13,145,,['IN'],[],Rajiv Menon,-1,0,0,0,0,0,0,0
27,Grown Ups,Gente Grande,[35],https://image.tmdb.org/t/p/w500/ppU2xJnlKdW3F01AtC9wMuXRZCg.jpg,movie,13.2735,16,6.395,6560,102,,['US'],"['friendship', 'overweight', 'affectation', 'convertible', 'swing', 'foot', 'friends', 'arrow', 'buddy comedy', 'buddies', 'playful', 'absurd', 'amused']",Dennis Dugan,2,0,0,0,0,0,0,0
28,Dark Skies,Dark Skies,"[10765, 18, 10759]",https://image.tmdb.org/t/p/w500/dtWcxTw4VGRyR7qNDlYFCdl5Q9.jpg,tv,6.2216,30,7.208,48,"[60, 45, 44]",1,['US'],"['alien', 'conspiracy theory', 'alternate history', 'alien invasion']",,-1,0,0,0,0,0,0,0
29,Paranoia,Paranoia,"[53, 18, 27]",,movie,1.5621,28,4.7,6,91,,['US'],"['stalker', 'serial killer', 'female protagonist', 'internet']",Larry Brand,-1,0,0,0,0,0,0,0
30,Ankahi Kahaniya,Três Histórias de Amor,"[18, 10749]",https://image.tmdb.org/t/p/w500/uMNQrFEcnfZUYdw3E4E09AOd6lp.jpg,movie,0.9528,5,5.8,15,110,,['IN'],[],Abhishek Chaubey,-1,0,0,0,0,0,0,0
31,Chicago Party Aunt,A Tia é Top,"[16, 35]",https://image.tmdb.org/t/p/w500/t7PD3cgqidXGVo0TQ3aQVk7QDLI.jpg,tv,4.7125,5,6.0,72,[22],1,['US'],"['chicago, illinois', 'agent', 'adult animation', 'sitcom']",Chris Witaske,5,0,0,0,0,0,0,0
32,Sex Education,Sex Education,"[35, 18]",https://image.tmdb.org/t/p/w500/2SUS5YMoBmJ8IYZzipTHCzIixRc.jpg,tv,31.6143,7,8.2,7757,,4,['GB'],"['england', 'small town', 'sex therapy', 'high school', 'coming of age', 'school', 'teenage sexuality', 'lgbt', 'lgbt teen', 'sex comedy', 'black lgbt', 'candid', 'sex therapist', 'teenage protagonist', 'asexuality', 'gay theme', 'bittersweet', 'teenager', 'ambiguous', 'inflammatory']",Laurie Nunn,5,0,0,0,0,0,0,0
33,Squid Game,Round 6: O Desafio,[10764],https://image.tmdb.org/t/p/w500/sUolfAUop5JtKkO0fSq33r9KCKW.jpg,tv,5.7587,3,6.478,619,,2,['GB'],"['reality competition', 'based on tv series']",,3,0,0,0,0,0,0,0
34,Tayo and Little Wizards,마법버스 타요,"[16, 10762, 10751]",https://image.tmdb.org/t/p/w500/m21eScNDeJpWusb745ylRG25tDU.jpg,tv,0.3656,6,1.0,1,[12],1,['KR'],[],,1,0,0,1,0,0,0,0
35,The Father Who Moves Mountains,O Pai que Move Montanhas,"[18, 53]",https://image.tmdb.org/t/p/w500/mFuFgPVuPmcYw0QtTub7HVj77AW.jpg,movie,0.6016,5,5.8,93,108,,"['RO', 'SE']",['pathetic'],Daniel Sandu,2,0,0,0,0,0,0,0
36,The Stronghold,A Fortaleza,"[28, 12, 35, 10751, 14, 36]",https://image.tmdb.org/t/p/w500/aRh84X7qvO0LArDwf0dMh0OYEwu.jpg,movie,0.6025,9,7.187,233,111,,['UA'],['time travel'],Yuriy Kovalyov,-1,0,0,0,0,0,0,0
37,Angry Birds,Angry Birds: O Filme,"[16, 12, 35, 10751]",https://image.tmdb.org/t/p/w500/awL1XD7ukn3Lg3GDJDyP3MZwyz8.jpg,movie,5.9768,10,6.255,3925,95,,"['FI', 'US']","['island', 'pig', 'villain', 'eagle', 'rivalry', 'based on video game', 'creature feature', 'duringcreditsstinger', 'anger management', 'animal kingdom', 'talking animal', 'bird', '3d animation', 'creature comedy', 'action']",Clay Kaytis,1,0,0,0,1,0,0,0
38,Birth of the Dragon,A Origem do Dragão,"[28, 18]",https://image.tmdb.org/t/p/w500/89PrfqYkqafUrSK8YhWqyMt4E3M.jpg,movie,1.6249,9,5.799,323,103,,"['CN', 'US']","['kung fu', 'biography']",George Nolfi,2,0,0,0,0,0,0,0
39,Chhota Bheem,Chhota Bheem,"[16, 10759, 35, 10762, 10751, 10765]",https://image.tmdb.org/t/p/w500/tc4GJ8jg8Ji8OtUBGKUlClH0zLx.jpg,tv,0.928,18,6.5,15,[11],1,['IN'],"['mythology', 'cartoon', 'hindu mythology', 'warrior', 'kids']",Rajiv Chilaka,1,0,0,0,1,0,0,0
40,He-Man and the Masters of the Universe,He-Man e Os Defensores do Universo,"[10759, 16, 10765, 10762]",https://image.tmdb.org/t/p/w500/5jwGlDPVmJoHJIqrYb9aBd1NkpL.jpg,tv,14.2554,43,7.31,397,[22],2,['US'],"['magic', 'castle', 'sorcery', 'alien planet', 'based on toy', 'fantasy world', 'haunted castle', 'sword and planet', 'sorceress', 'sword and sorcery', 'superhuman abilities', 'ancient castle', 'science fiction', 'animation', 'ancient sword']",Roger Sweet,1,0,0,0,0,0,0,0
41,Jaws,Tubarão,"[27, 53, 12]",https://image.tmdb.org/t/p/w500/iD2XVowFgHngYGamCAdq2T44gMr.jpg,movie,16.6557,51,7.679,11344,124,,['US'],"['dying and death', 'beach', 'based on novel or book', 'bathing', 'shipwreck', 'fishing', 'atlantic ocean', 'shark attack', 'police chief', 'ferry boat', 'animal attack', 'long island, new york', 'dead child', 'creature', 'skinny dipping', 'shark', 'great white shark', 'dead dog', 'killer shark', 'child killed by animal', 'fourth of july', 'severed leg', 'fishing boat', 'animal horror', 'shark cage', 'suspenseful', 'excited', 'optimistic']",Steven Spielberg,1,0,0,0,0,0,0,0
42,Jaws 2,Tubarão 2,"[27, 53]",https://image.tmdb.org/t/p/w500/qPO2Aelw74dXF1P8FZsHA0GgKQ1.jpg,movie,3.5961,48,6.035,2085,116,,['US'],"['dying and death', 'rescue', 'island', 'panic', 'mayor', 'shark attack', 'police chief', 'current', 'boat accident', 'animal attack', 'sailing', 'sequel', 'scuba diving', 'creature', 'shark', 'great white shark', 'killer whale', 'high-tension current', 'water skiing', 'tourism']",Jeannot Szwarc,1,0,0,0,0,0,0,0
43,Jaws 3,Tubarão 3,"[53, 27]",https://image.tmdb.org/t/p/w500/dnOT2gTupHDYY2AN9gYLklSUiPo.jpg,movie,4.797,43,4.472,1394,98,,['US'],"['florida', 'diving', 'dolphin', 'sequel', 'scuba diving', 'creature', 'swimming', 'shark', 'great white shark', 'killer shark', 'giant animal', 'theme park', 'water skiing', 'boat trouble', 'sea world', 'orlando florida']",Joe Alves,1,0,0,0,0,0,0,0
44,Jaws: The Revenge,Tubarão 4: A Vingança,"[12, 53, 27]",https://image.tmdb.org/t/p/w500/rbWaX7V6nyY0BowqPbQGNApmNoI.jpg,movie,2.6124,39,4.082,1156,89,,['US'],"['dying and death', 'shark attack', 'animal attack', 'bahamas', 'sequel', 'revenge', 'creature', 'underwater', 'shark', 'great white shark', 'caribbean sea', 'banana boat']",Joseph Sargent,2,0,0,0,0,0,0,0
45,My Heroes Were Cowboys,Meus Heróis Eram Cowboys,"[99, 37]",https://image.tmdb.org/t/p/w500/xC51WF2Bww7PX0Y0sijF1P6ntwI.jpg,movie,0.2986,5,6.4,15,23,,['US'],[],Tyler Greco,1,0,0,0,0,0,0,0
46,Safe House,Safe House,"[28, 53]",https://image.tmdb.org/t/p/w500/jlQW7qPp9j6yGqiIEcB3uNYbjys.jpg,movie,3.7658,1,6.755,53,90,,['US'],"['state of emergency', 'safe house', 'enemy agent', 'suicide bomber', 'state terrorism', 'secret agents']",Jamie Marshall,-1,0,0,0,0,0,0,0
47,The Smart Money Woman,Dona das Finanças,[18],https://image.tmdb.org/t/p/w500/kSifdgS3PR0hpatVt0IvtAskch9.jpg,tv,0.3262,6,2.0,3,[53],1,['NG'],[],Arese Ugwu,5,0,0,0,0,0,0,0
48,Training Day,Dia de Treinamento,"[28, 80, 18]",https://image.tmdb.org/t/p/w500/ju2TUNXdCosCMOWXJA1BxtylyOj.jpg,movie,7.9571,25,7.512,6451,122,,['US'],"['drug dealer', 'california', 'police brutality', 'poker', 'bratva (russian mafia)', 'war on drugs', 'drug trafficking', 'police corruption', 'los angeles, california', 'gang member', 'rookie cop', 'narcotics cop', 'mexican american', 'cholo', 'neo-noir', 'admiring', 'audacious']",Antoine Fuqua,5,0,0,0,0,0,0,0
49,Castle and Castle,Castle and Castle,[18],https://image.tmdb.org/t/p/w500/gW9Vmgz7t2w4Au0l7TteankmW3u.jpg,tv,1.1718,8,6.2,6,,2,['NG'],[],Mo Abudu,-1,0,0,0,0,0,0,0
50,Dharmakshetra,Dharmakshetra,"[10765, 18]",https://image.tmdb.org/t/p/w500/mMo5kK8FrKDSsqXOjiYe3H11ueJ.jpg,tv,0.3704,12,6.0,2,,1,['IN'],[],,-1,0,0,0,0,0,0,0
51,InuYasha the Movie 2: The Castle Beyond the Looking Glass,InuYasha 2: O Castelo das Ilusões Dentro do Espelho,"[28, 16, 12, 14]",https://image.tmdb.org/t/p/w500/u8zFbyQnIKRRPxRRweQ6ODtAUhc.jpg,movie,1.6031,24,7.7,155,99,,['JP'],"['youkai', 'shounen', 'anime']",Toshiya Shinohara,2,0,0,0,0,0,0,1
52,InuYasha the Movie 3: Swords of an Honorable Ruler,InuYasha 3: A Espada Dominadora do Mundo,"[16, 14, 12]",https://image.tmdb.org/t/p/w500/kDN5vNEuNNvkNo4tSygGfGYHfDi.jpg,movie,1.5352,23,7.7,147,99,,['JP'],"['youkai', 'shounen', 'anime']",Toshiya Shinohara,5,0,0,0,0,0,0,1
53,InuYasha the Movie 4: Fire on the Mystic Island,InuYasha 4: Fogo na Ilha Mística,"[14, 16, 12]",https://image.tmdb.org/t/p/w500/jJIFvTkkbUcwQaTaEUTPo106Qwx.jpg,movie,1.5756,22,7.5,113,88,,['JP'],"['youkai', 'shounen', 'anime']",Toshiya Shinohara,2,0,0,0,0,0,0,1
54,InuYasha the Movie: Affections Touching Across Time,InuYasha 1: Sentimentos que Transcendem o Tempo,"[28, 16, 12, 14]",https://image.tmdb.org/t/p/w500/krSgIB3AD35sKh9iXT5x7Io1xHF.jpg,movie,1.6716,25,7.5,194,100,,['JP'],"['monster', 'sword', 'time travel', 'demon', 'adult animation', 'youkai', 'quest', 'shounen', 'anime']",Toshiya Shinohara,2,0,0,0,0,0,0,1
55,Nailed It,Mandou Bem,[10764],https://image.tmdb.org/t/p/w500/3wLAkbQu2Ld1rjiEeFvHnqmO5zN.jpg,tv,6.4983,8,7.11,73,,7,['US'],"['cooking', 'social media', 'baking', 'cooking competition', 'baking competition', 'pinterest']",,1,0,0,0,0,0,0,0
56,Naruto Shippuden the Movie: Blood Prison,Naruto Shippuden O Filme: Prisão de Sangue,"[53, 16, 28, 35, 27, 9648]",https://image.tmdb.org/t/p/w500/gTQjUgNPv8uJATb8PNZNowxfehF.jpg,movie,4.0117,15,7.253,693,102,,['JP'],"['ninja', 'shounen', 'anime', 'adventure']",Masahiko Murata,2,0,0,0,0,0,0,1
57,Naruto Shippûden the Movie: Bonds,Naruto Shippuden O Filme: Laços,"[14, 16, 28]",https://image.tmdb.org/t/p/w500/mVxwJGCJmbeL9d6C85IhNbAq4TT.jpg,movie,4.2994,18,7.335,510,92,,['JP'],"['ninja', 'shounen', 'anime', 'adventure']",Hajime Kamegaki,2,0,0,0,0,0,0,1
58,Naruto Shippûden the Movie: The Will of Fire,Naruto Shippuden O Filme: Herdeiros da Vontade do Fogo,"[28, 12, 35, 18, 14, 16]",https://image.tmdb.org/t/p/w500/7TQFZZQhai2MY0FoWsWAMMtYANb.jpg,movie,3.3766,17,7.384,500,95,,['JP'],"['ninja fighter', 'ninja', 'shounen', 'anime', 'adventure']",Masahiko Murata,2,0,0,0,0,0,0,1
59,Naruto Shippuden: The Movie,Naruto Shippuden: O Filme,"[16, 28, 14]",https://image.tmdb.org/t/p/w500/x2CL0VzHq8DwD1UDG9Jck7VZH1L.jpg,movie,4.7147,19,7.408,1051,94,,['JP'],"['bodyguard', 'protection', 'premonition', 'ninja', 'demon', 'priestess', 'terracotta army', 'shounen', 'anime', 'adventure']",Hajime Kamegaki,2,0,0,0,0,0,0,1
60,Naruto Shippuden: The Movie: The Lost Tower,Naruto Shippuden O Filme: A Torre Perdida,"[12, 28, 16]",https://image.tmdb.org/t/p/w500/4IEBeghOA0tBE5gBiqoBU1ZlHUY.jpg,movie,4.0824,16,7.178,500,88,,['JP'],"['ninja', 'shounen', 'anime', 'adventure']",Masahiko Murata,2,0,0,0,0,0,0,1
61,Naruto the Movie 2: Legend of the Stone of Gelel,Naruto: A Lenda da Pedra de Gelel,"[16, 12, 14]",https://image.tmdb.org/t/p/w500/sEFGtnyVYQwFY4FmJ9snCRGTtqp.jpg,movie,2.9945,21,6.795,430,97,,['JP'],"['ninja', 'shounen', 'anime', 'adventure']",Hirotsugu Kawasaki,2,0,0,0,0,0,0,1
62,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Naruto: Guardiões do Reino da Lua Crescente,"[12, 16, 28]",https://image.tmdb.org/t/p/w500/2wwVFqDULo63dxQGp4jOKzClIGt.jpg,movie,3.5225,20,7.123,479,95,,['JP'],"['ninja', 'shounen', 'anime', 'adventure']",Toshiyuki Tsuru,2,0,0,0,0,0,0,1
63,Naruto the Movie: Ninja Clash in the Land of Snow,Naruto: O Confronto Ninja no País da Neve,"[35, 28, 16, 12]",https://image.tmdb.org/t/p/w500/cNG8IwOovhq8n9iBMOcxT2c2gc9.jpg,movie,4.0525,22,7.299,603,82,,['JP'],"['ninja', 'shounen', 'anime', 'adventure']",Tensai Okamura,2,0,0,0,0,0,0,1
64,Nightbooks,Noitários de Arrepiar,"[14, 27, 10751]",https://image.tmdb.org/t/p/w500/9NTrSviwKL8GxGySG0n1ooyiFMA.jpg,movie,3.5936,5,6.106,409,101,,"['CA', 'US']","['witch', 'cat', 'held captive', 'child protagonist', 'scary stories']",David Yarovesky,-1,0,0,0,0,0,0,0
65,Numberblocks,Numberblocks,"[10762, 16, 10751]",https://image.tmdb.org/t/p/w500/vt872bR11jYDRSzTSfLuOmb2SMt.jpg,tv,13.4236,10,9.059,17,[5],8,['GB'],"['mathematics', 'maths']",Joe Elliot,0,0,0,0,0,0,0,0
66,Raja Rasoi Aur Anya Kahaniyan,राजा रसोई और अन्य कहानियां,[99],https://image.tmdb.org/t/p/w500/rNErg2qYVcm9DInwJeAkgSt2HtZ.jpg,tv,2.152,12,7.3,3,,4,['IN'],"['food', 'culture', 'food history', 'local food', 'indian history', 'indian cuisine']",,-1,0,0,0,0,0,0,0
67,Saved by the Bell,Galera do Barulho,"[10751, 35]",https://image.tmdb.org/t/p/w500/9YC576fs6XQR2pfPDJn4kcmG8T5.jpg,tv,14.2913,37,7.797,694,[23],4,['US'],"['high school', 'rivalry', 'romance', 'school', 'best friend', 'teen comedy', 'classmate', 'young love', 'interracial friendship', 'sitcom']",Sam Bobrick,0,0,0,0,0,0,0,0
68,Schumacher,Schumacher,[99],https://image.tmdb.org/t/p/w500/ArpeW9q7rEwWyzZ3SZbBRsuvFPZ.jpg,movie,1.8417,5,7.276,445,112,,['DE'],"['biography', 'motor sport', 'race car driver', 'sports documentary', 'star showcase', 'formula one (f1)', 'racing driver', 'famous people', 'sports personality']",Michael Wech,2,0,0,0,0,0,0,0
69,Stories by Rabindranath Tagore,Stories by Rabindranath Tagore,[18],https://image.tmdb.org/t/p/w500/su1OKx5CiPWnYcFwe1WKaK1hLGZ.jpg,tv,1.7037,11,7.8,8,[45],1,['IN'],[],Anurag Basu,-1,0,0,0,0,0,0,0
70,Too Hot To Handle: Latino,Brincando com Fogo: América Latina,[10764],https://image.tmdb.org/t/p/w500/tI7nIsXmM5xJriViQmBR26w4wlU.jpg,tv,2.9233,5,7.125,28,[40],1,['MX'],['dating show'],Charlie Bennett,-1,0,0,0,0,0,0,0
71,A StoryBots Space Adventure,A StoryBots Space Adventure,"[16, 10751]",https://image.tmdb.org/t/p/w500/49Tbnvhw3wFdXPwh4K6t6UOHkpi.jpg,movie,0.169,5,2.0,1,12,,,[],David A. Vargas,-1,0,0,0,0,0,0,0
72,Jack Whitehall: Travels with My Father,Jack Whitehall: Travels with My Father,"[35, 10764]",https://image.tmdb.org/t/p/w500/4YmLWIECW3OE7NiP9uwUK35i2uH.jpg,tv,1.4849,9,6.964,56,,5,['GB'],"['road trip', 'travel']",Jack Whitehall,5,0,0,0,0,0,0,0
73,King of Boys,King of Boys,[18],https://image.tmdb.org/t/p/w500/3nO3VboeVLVOwIHMkTRIwTrrKQP.jpg,movie,0.8608,8,6.4,11,182,,['NG'],['nigeria'],Kemi Adetiba,-1,0,0,0,0,0,0,0
74,The World's Most Amazing Vacation Rentals,Aluga-se um Paraíso,"[10764, 99]",https://image.tmdb.org/t/p/w500/cu9b6FeE0MIPj9Ca8b9oVaNn9F5.jpg,tv,1.2778,5,7.8,16,[35],2,['US'],[],,-1,0,0,0,0,0,0,0
75,You vs. Wild: Out Cold,Você Radical - Amnésia,"[28, 12, 99]",https://image.tmdb.org/t/p/w500/pGt2JUsDjhSn738jR3R1SdxWRe5.jpg,movie,0.8103,5,5.7,23,25,,,['interactive'],Ben Simms,-1,0,0,0,0,0,0,0
76,Yowamushi Pedal,Yowamushi Pedal,"[35, 16, 18]",https://image.tmdb.org/t/p/w500/iV1EtFWsdS8a1fSiF5ashiCISPg.jpg,tv,16.6783,13,6.979,47,[24],5,['JP'],"['training', 'sports', 'high school', 'high school sports', 'rivalry', 'slice of life', 'tournament', 'bromance', 'based on manga', 'cycling', 'school life', 'biking', 'shounen', 'anime', 'school club', 'japanese high school', 'otaku', 'bukatsu']",,0,0,0,0,0,0,1,1
77,Little Singham - Black Shadow,Little Singham - Black Shadow,[],,movie,0.0807,5,10.0,1,47,,,[],Prakash Satam,-1,0,0,0,0,0,0,0
78,Tughlaq Durbar,துக்ளக் தர்பார்,"[18, 35]",https://image.tmdb.org/t/p/w500/Ajxa9eE4vojurvYqSmRQVLSh6bt.jpg,movie,0.5383,5,6.0,10,146,,['IN'],[],Delhi Prasad Deenadayal,-1,0,0,0,0,0,0,0
79,Tughlaq Durbar (Telugu),,[],,,,,,,,,,[],,-1,0,0,0,0,0,0,0
80,Firedrake the Silver Dragon,O Cavaleiro do Dragão,"[16, 10751, 12, 14]",https://image.tmdb.org/t/p/w500/v8O3Sk7xw50LMLpxYNhEY4gTZvd.jpg,movie,1.6802,6,7.015,171,91,,"['BE', 'DE']","['friendship', 'himalaya mountain range', 'cartoon', 'dragon', 'quest']",Tomer Eshed,-1,0,0,0,0,0,0,0
81,Kate,Kate,"[28, 53]",https://image.tmdb.org/t/p/w500/uJgdT1boTSP0dDIjdTgGleg71l4.jpg,movie,3.6509,5,6.629,1667,106,,"['US', 'JP']","['japan', 'assassin', 'radiation', 'poison', 'revenge', 'female assassin', 'tokyo, japan', 'vengeance']",Cedric Nicolas-Troyan,5,0,0,0,0,0,0,0
